,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
107,0.0,Fri Jan 05 16:05:58 +0000 2018,1.0,0.0,0.0,3,@CBS,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…"
108,0.1867,Thu Jan 04 23:13:02 +0000 2018,0.89,0.0,0.11,3,@CBS,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1"
109,-0.296,Thu Jan 04 14:43:09 +0000 2018,0.879,0.121,0.0,3,@CBS,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD"
110,0.5423,Wed Jan 03 20:33:09 +0000 2018,0.821,0.0,0.179,3,@CBS,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…"
111,-0.5267,Wed Jan 03 19:51:15 +0000 2018,0.833,0.167,0.0,3,@CBS,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS
112,0.5423,Wed Jan 03 15:00:05 +0000 2018,0.857,0.0,0.143,3,@CBS,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV
113,0.0,Wed Jan 03 12:00:01 +0000 2018,1.0,0.0,0.0,3,@CBS,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC"
114,-0.7692,Wed Jan 03 00:47:26 +0000 2018,0.733,0.267,0.0,3,@CBS,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…"
115,0.8516,Tue Jan 02 22:41:51 +0000 2018,0.66,0.0,0.34,3,@CBS,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9
116,0.0,Tue Jan 02 08:00:03 +0000 2018,1.0,0.0,0.0,3,@CBS,"New year, new episodes -- all week long! It kicks off with an all-new #NCIS, #Bull and #NCISNOLA tonight starting a… https://t.co/bcmAaUQJtf"
117,0.0,Mon Jan 01 01:16:12 +0000 2018,1.0,0.0,0.0,3,@CBS,"Due to #NFL football games overrun, revised start times &amp; lineup for Eastern/Central Time Zones Only:
#60Minutes 8:… https://t.co/rqOYbM5j0h"
118,0.7798,Sun Dec 31 14:37:05 +0000 2017,0.736,0.0,0.264,3,@CBS,Get ready for football! Stream NFL on CBS today with #CBSAllAccess. Try 1 month FREE with promo code BINGE (not ava… https://t.co/NEntvW7QHd
119,0.0,Sat Dec 30 20:25:20 +0000 2017,1.0,0.0,0.0,3,@CBS,"RT @NoActivityCBS: All season nothing's happened. Now prepare for activity. Stream the #NoActivity season finale Sunday, Dec 31 on CBS All…"
120,0.3612,Sat Dec 30 20:24:58 +0000 2017,0.884,0.0,0.116,3,@CBS,RT @startrekcbs: Find out what happens when you boldly go too far. #StarTrekDiscovery continues January 7 on CBS All Access: https://t.co/f…
121,0.0857,Fri Dec 29 16:06:02 +0000 2017,0.699,0.144,0.157,3,@CBS,Stream NC State Wolfpack at Arizona State Sun Devils LIVE today at 3PM ET with a 1-month FREE trial of… https://t.co/8k50thgtip
122,0.1511,Thu Dec 28 20:31:01 +0000 2017,0.783,0.096,0.121,3,@CBS,"In case you missed this star-studded tribute to Carol Burnett's classic comedy series, catch up now! Watch The Caro… https://t.co/wu7BxM9gtm"
123,0.0,Thu Dec 28 19:28:22 +0000 2017,1.0,0.0,0.0,3,@CBS,Some of TV's biggest stars saluted @TheNormanLear's impact on television and culture at The 40th Annual Kennedy Cen… https://t.co/E74ChUW1uE
124,0.875,Wed Dec 27 22:45:05 +0000 2017,0.643,0.0,0.357,3,@CBS,The search is on to find the pro football player with the best off-the-field talent. Vote for your favorite player… https://t.co/R0fb5ngJ16
125,0.7717,Wed Dec 27 21:04:10 +0000 2017,0.705,0.0,0.295,3,@CBS,"Celebrate everyone's favorite classic sitcom with Carol Burnett, Vicki Lawrence, and more stars during The Carol Bu… https://t.co/SaiZ9TzBVO"
126,0.8452,Wed Dec 27 19:52:02 +0000 2017,0.663,0.0,0.337,3,@CBS,Joy to the world of streaming! Try #CBSAllAccess FREE for 1 month – just use code BINGE by 1/2:… https://t.co/9p1ACnslz6
127,0.0,Wed Dec 27 19:40:34 +0000 2017,1.0,0.0,0.0,3,@CBS,"Music legend Stevie Wonder salutes @LionelRichie while performing his classic hit, ""Easy"" at The 40th Annual Kenned… https://t.co/7TeDeNyhgo"
128,0.7003,Wed Dec 27 12:00:01 +0000 2017,0.766,0.0,0.234,3,@CBS,"As the youngest Kennedy Center Honoree in 40 years, @LLCoolJ talks about what motivates him to chase his dreams. Wa… https://t.co/DFY78y99w3"
129,0.8398,Wed Dec 27 07:27:33 +0000 2017,0.64,0.0,0.36,3,@CBS,Here's to the 2017 Kennedy Center Honorees! Catch up on an evening of stunning performances and inspiring speeches… https://t.co/jGfANpSCul
130,0.8221,Wed Dec 27 04:00:52 +0000 2017,0.664,0.0,0.336,3,@CBS,This celebration could go all night long! What a great final performance in honor of @LionelRichie. #KCHonors https://t.co/xKLWpKr3v0
131,0.0,Wed Dec 27 03:59:48 +0000 2017,1.0,0.0,0.0,3,@CBS,RT @MarkAPrinceJr: A #LionelRichie tribute is not complete without ?All Night Long? ? #KCHonors
